# index, as_id, _pos
557,557,"array([ 5.66451396, -6.86644706])"
558,7256,"array([ 5.58121142, -6.89296057])"
559,559,"array([ 5.55253384, -6.49381659])"
560,5798,"array([ 5.33458895, -7.01587419])"
561,561,"array([ 5.80185992, -6.70115938])"
562,7257,"array([ 5.4342135 , -6.92574649])"
563,7258,"array([ 5.68899112, -7.338379  ])"
564,8023,"array([ 5.57139457, -6.85344058])"
565,565,"array([ 4.81275088, -6.21141046])"
566,7260,"array([ 5.83812371, -7.30759424])"
567,7261,"array([ 5.63790203, -7.37416072])"
568,568,"array([ 5.78787219, -6.79860561])"
569,3472,"array([ 6.40543013, -5.85994486])"
570,8024,"array([ 5.48793577, -8.09528479])"
571,7263,"array([ 6.04263241, -7.22320956])"
572,7264,"array([ 5.39736746, -7.00928807])"
573,7265,"array([ 5.28116181, -7.23325624])"
574,8468,"array([ 4.99158603, -6.57571769])"
575,7267,"array([ 5.67893374, -7.14591788])"
576,3479,"array([ 5.86251577, -6.92951985])"
577,577,"array([ 6.02841712, -6.93694705])"
578,3480,"array([ 6.10020769, -6.89320324])"
579,7268,"array([ 5.86472873, -7.41779361])"
580,7269,"array([ 5.6600687 , -6.83244835])"
581,8469,"array([ 5.28349439, -6.29826798])"
582,3484,"array([ 5.52598134, -8.10509297])"
583,7271,"array([ 6.16495759, -7.14967242])"
584,8470,"array([ 5.49238891, -6.59852861])"
585,8028,"array([ 5.5096887 , -7.01248899])"
586,3488,"array([ 5.71342348, -7.3516052 ])"
587,10605,"array([ 5.71750966, -6.52953347])"
588,7275,"array([ 5.64433323, -7.43958674])"
589,3491,"array([ 5.31806705, -6.98221085])"
590,3492,"array([ 5.46543801, -7.12466157])"
591,591,"array([ 6.28777527, -7.07208028])"
592,3493,"array([ 6.01069658, -7.14676531])"
593,7276,"array([ 5.38616606, -7.32108488])"
594,7277,"array([ 6.29932041, -7.47388004])"
595,8472,"array([ 5.17753821, -6.27490165])"
596,7279,"array([ 5.79264878, -7.10587524])"
597,10382,"array([ 5.69023131, -7.09098904])"
598,7281,"array([ 5.81029166, -7.24391601])"
599,7282,"array([ 5.81693403, -7.18205162])"
600,600,"array([ 5.40743696, -7.48120086])"
601,7283,"array([ 5.56599914, -7.11554096])"
602,3502,"array([ 5.51424658, -7.36732337])"
603,7284,"array([ 5.79323317, -7.05313685])"
604,10383,"array([ 5.78898336, -6.87300567])"
605,3505,"array([ 5.86266915, -7.05329134])"
606,3506,"array([ 5.88174638, -7.3207234 ])"
607,8475,"array([ 4.45340849, -6.09446124])"
608,3508,"array([ 5.56291695, -7.30111742])"
609,8476,"array([ 4.78086641, -6.72150905])"
610,3510,"array([ 5.54136985, -7.62130486])"
611,611,"array([ 6.43688595, -6.80198002])"
612,7288,"array([ 5.9857132 , -7.37391693])"
613,613,"array([ 5.91489261, -7.03182871])"
614,3512,"array([ 5.70300566, -6.65264915])"
615,3513,"array([ 5.74287681, -7.3910793 ])"
616,7289,"array([ 5.49920538, -6.93692667])"
617,7290,"array([ 5.60985006, -6.65137415])"
618,7291,"array([ 5.62950128, -6.61420402])"
619,7292,"array([ 5.68032089, -6.66614622])"
620,7293,"array([ 5.58383075, -6.66236449])"
621,5836,"array([ 6.39199493, -6.12249283])"
622,7294,"array([ 5.7011372 , -6.67466192])"
623,10384,"array([ 5.34093943, -7.19256409])"
624,5839,"array([ 6.23806911, -6.08104135])"
625,625,"array([ 5.80896344, -6.67969455])"
626,7296,"array([ 5.56693855, -6.90314314])"
627,8036,"array([ 5.6565    , -7.62084662])"
628,7298,"array([ 5.04912315, -6.91156397])"
629,8037,"array([ 5.60902679, -7.53353185])"
630,3527,"array([ 5.74548923, -6.6309148 ])"
631,7300,"array([ 5.62960269, -7.20153613])"
632,7301,"array([ 6.32664508, -6.84518708])"
633,5846,"array([ 6.17746547, -6.26639191])"
634,8038,"array([ 5.77829658, -7.24433239])"
635,7303,"array([ 5.52925541, -6.74193989])"
636,636,"array([ 6.34313982, -5.97907855])"
637,7304,"array([ 5.69005729, -6.81941392])"
638,8039,"array([ 5.49911373, -7.21754545])"
639,7306,"array([ 4.93564259, -7.68519581])"
640,7307,"array([ 6.32199565, -7.44902253])"
641,7308,"array([ 5.66184522, -7.32869944])"
642,10385,"array([ 5.98867095, -7.6271691 ])"
643,5855,"array([ 6.11624232, -6.55201946])"
644,5856,"array([ 5.80600913, -6.87993763])"
645,3541,"array([ 6.15513725, -6.07871679])"
646,8041,"array([ 5.75672072, -7.48598324])"
647,10487,"array([ 6.10427761, -7.17182678])"
648,7312,"array([ 5.38661411, -7.49851108])"
649,7313,"array([ 4.75238238, -6.82644233])"
650,7314,"array([ 5.7332932, -7.0653304])"
651,7315,"array([ 5.33593995, -7.48397804])"
652,3548,"array([ 5.5841373 , -7.78238717])"
653,3549,"array([ 5.50548704, -6.89348121])"
654,3550,"array([ 5.04758145, -7.54797948])"
655,655,"array([ 6.1937084 , -6.18842294])"
656,8043,"array([ 5.76400094, -7.22091772])"
657,7317,"array([ 5.60756687, -6.8005131 ])"
658,7318,"array([ 5.82617055, -6.76457183])"
659,3554,"array([ 5.53899057, -7.13173117])"
660,3555,"array([ 5.81094661, -7.43439478])"
661,7319,"array([ 5.42934438, -7.34962951])"
662,3557,"array([ 5.65372303, -6.95885775])"
663,10387,"array([ 5.69799067, -7.04312007])"
664,3559,"array([ 5.25873317, -7.59999819])"
665,7321,"array([ 5.89622794, -6.95421799])"
666,3561,"array([ 5.46838571, -7.19237928])"
667,7322,"array([ 5.88080418, -6.87275758])"
668,668,"array([ 5.76978343, -6.89773773])"
669,3563,"array([ 5.48167242, -7.21295772])"
670,3564,"array([ 5.58062412, -7.28905282])"
671,7323,"array([ 5.8017803 , -6.72525889])"
672,3566,"array([ 5.8425835, -7.4198653])"
673,3567,"array([ 5.56679099, -7.41187409])"
674,10606,"array([ 5.74573086, -6.53668884])"
675,5872,"array([ 5.94637797, -6.73487638])"
676,7325,"array([ 5.10704636, -7.51285159])"
677,3571,"array([ 5.55380255, -7.50428447])"
678,7326,"array([ 6.19372087, -7.58469886])"
679,679,"array([ 5.53610084, -6.30499352])"
680,8046,"array([ 5.36457382, -7.32315005])"
681,681,"array([ 5.01388524, -7.16352507])"
682,10389,"array([ 5.47916079, -7.44031223])"
683,683,"array([ 5.87893397, -7.13775196])"
684,684,"array([ 6.20724513, -6.81425922])"
685,685,"array([ 5.40911786, -7.16790355])"
686,686,"array([ 6.00973964, -6.51706525])"
687,687,"array([ 5.96597635, -6.80680428])"
688,3575,"array([ 5.92182561, -7.51081696])"
689,689,"array([ 5.99693403, -6.6425562 ])"
690,3576,"array([ 5.70286581, -7.61341441])"
691,691,"array([ 6.19484239, -6.85893543])"
692,3577,"array([ 5.80739187, -7.7556215 ])"
693,693,"array([ 6.08878014, -7.2883058 ])"
694,3578,"array([ 5.71626007, -7.18700706])"
695,8048,"array([ 5.12914743, -6.8099141 ])"
696,10390,"array([ 5.62858022, -7.50123887])"
697,3581,"array([ 5.33865508, -7.35694671])"
698,3582,"array([ 5.71211858, -6.79492404])"
699,10581,"array([ 5.86535416, -6.79899362])"
700,7332,"array([ 5.97808883, -6.94499835])"
701,701,"array([ 5.5894428 , -7.05632596])"
702,702,"array([ 5.29049307, -6.63317723])"
703,703,"array([ 5.17582156, -7.07594459])"
704,5881,"array([ 6.09088209, -6.52639073])"
705,705,"array([ 5.3327212 , -7.07441507])"
706,3586,"array([ 5.19954134, -6.84389561])"
707,7333,"array([ 5.79858613, -7.34324855])"
708,3588,"array([ 5.49505559, -7.10167031])"
709,7334,"array([ 5.64132429, -6.83419096])"
710,8051,"array([ 5.55089042, -6.73759524])"
711,3591,"array([ 5.92382388, -6.77775881])"
712,7336,"array([ 5.81260397, -6.95946634])"
713,3593,"array([ 5.52918049, -7.2086377 ])"
714,714,"array([ 5.91265203, -7.07831112])"
715,715,"array([ 5.43710611, -7.26660925])"
716,3594,"array([ 5.60988385, -7.50715146])"
717,7337,"array([ 5.7516834 , -6.90740567])"
718,3596,"array([ 5.55717935, -7.81645168])"
719,719,"array([ 5.27097682, -6.72246552])"
720,3597,"array([ 5.24459507, -6.80401242])"
721,721,"array([ 5.92233998, -6.59034011])"
722,7338,"array([ 5.65767054, -7.17105189])"
723,3599,"array([ 5.32770246, -7.4579474 ])"
724,724,"array([ 5.9827764, -6.5870689])"
725,8052,"array([ 5.62060294, -7.3987535 ])"
726,7340,"array([ 5.6886511 , -6.47248531])"
727,3602,"array([ 6.13642009, -7.36484794])"
728,3603,"array([ 5.8912674 , -6.56384714])"
729,7341,"array([ 5.71545762, -7.08480775])"
730,3605,"array([ 6.20177053, -6.63511257])"
731,7342,"array([ 5.37318765, -7.20517351])"
732,7343,"array([ 5.71324909, -6.97482771])"
733,3608,"array([ 5.15669052, -7.06100383])"
734,7344,"array([ 5.98681195, -7.19501685])"
735,7345,"array([ 5.37197907, -6.96761775])"
736,7346,"array([ 5.83922639, -6.44050817])"
737,8485,"array([ 4.36996936, -6.22824014])"
738,10392,"array([ 5.68502202, -7.4662724 ])"
739,3614,"array([ 5.56727994, -7.01934676])"
740,3615,"array([ 5.01038687, -7.00457521])"
741,3616,"array([ 5.65549021, -6.62311687])"
742,7349,"array([ 5.11130792, -6.97348187])"
743,8487,"array([ 4.84604245, -6.70313949])"
744,744,"array([ 6.33929913, -6.32634253])"
745,745,"array([ 5.882031  , -6.65418487])"
746,7351,"array([ 5.69401363, -7.67832623])"
747,8056,"array([ 5.46946043, -6.6143082 ])"
748,7353,"array([ 5.71849622, -7.45014468])"
749,7354,"array([ 5.51865101, -7.07359696])"
750,8057,"array([ 5.36442466, -7.4974649 ])"
751,8058,"array([ 5.38858125, -6.8111493 ])"
752,8059,"array([ 5.7717543 , -7.36479681])"
753,7358,"array([ 5.52237099, -7.38343907])"
754,7359,"array([ 5.93033793, -7.10391465])"
755,3628,"array([ 5.8386281, -6.5993009])"
756,7360,"array([ 5.39523343, -6.95665052])"
757,7361,"array([ 6.18125043, -7.34158882])"
758,7362,"array([ 5.64166276, -7.29666769])"
759,3632,"array([ 5.51761253, -7.95316082])"
760,760,"array([ 5.34409375, -6.04006268])"
761,7363,"array([ 5.20145877, -6.59396046])"
762,762,"array([ 5.9308861 , -6.54695636])"
763,763,"array([ 5.29100078, -7.45773581])"
764,764,"array([ 4.97630751, -6.45927399])"
765,8060,"array([ 6.0564012 , -6.86355488])"
766,766,"array([ 5.04399661, -6.79905903])"
767,7365,"array([ 5.4499652 , -6.83315834])"
768,7366,"array([ 6.25813652, -7.37408316])"
769,7367,"array([ 5.3633374 , -7.03406368])"
770,7368,"array([ 5.41110952, -7.35838752])"
771,7369,"array([ 5.43432924, -7.01025254])"
772,772,"array([ 6.12633737, -6.02787059])"
773,3640,"array([ 5.61739459, -7.81406163])"
774,7370,"array([ 5.0848024 , -7.14140907])"
775,8061,"array([ 5.94090717, -6.81068032])"
776,7372,"array([ 5.82883585, -6.96641845])"
777,5922,"array([ 5.03987842, -7.64961168])"
778,8062,"array([ 5.95061539, -6.90349096])"
779,7374,"array([ 5.42963806, -7.04281842])"
780,8063,"array([ 5.96131156, -6.9241311 ])"
781,10393,"array([ 5.15640236, -6.98727033])"
782,5927,"array([ 5.94837638, -6.63304681])"
783,7377,"array([ 5.57265486, -6.77990094])"
784,8489,"array([ 5.21716598, -6.29320945])"
785,8066,"array([ 5.71903121, -6.48741053])"
786,786,"array([ 5.29682989, -6.8096453 ])"
787,10545,"array([ 5.71252401, -7.88230151])"
788,8068,"array([ 5.19206705, -6.75673952])"
789,789,"array([ 5.10821224, -6.79095004])"
790,790,"array([ 5.37402267, -6.68801614])"
791,7382,"array([ 5.47283496, -7.27709098])"
792,8069,"array([ 4.96398093, -7.57190621])"
793,8070,"array([ 5.42302615, -7.45920996])"
794,7385,"array([ 5.63514334, -7.3538789 ])"
795,7386,"array([ 5.45274241, -7.15173944])"
796,10395,"array([ 5.63064147, -7.03040345])"
797,3661,"array([ 4.86497994, -7.35348506])"
798,3662,"array([ 5.04736022, -7.28775784])"
799,3663,"array([ 5.7614049 , -7.37733419])"
800,800,"array([ 6.22730692, -6.86882097])"
801,10396,"array([ 5.24807429, -7.02666315])"
802,802,"array([ 6.50750922, -6.79342386])"
803,803,"array([ 6.19856769, -6.88753052])"
804,10397,"array([ 5.56616657, -7.37286026])"
805,10673,"array([ 5.79954753, -6.90525135])"
806,7391,"array([ 5.76323552, -6.65538589])"
807,10399,"array([ 5.65664763, -7.07819619])"
808,808,"array([ 6.52541641, -6.82836781])"
809,3669,"array([ 6.03212677, -7.08722165])"
810,3670,"array([ 6.27418144, -6.90552789])"
811,3671,"array([ 6.06505186, -7.12965542])"
812,812,"array([ 5.95115453, -6.98335503])"
813,813,"array([ 6.33456873, -7.33596286])"
814,814,"array([ 5.95187098, -7.21876113])"
815,815,"array([ 6.13479097, -7.29019965])"
816,816,"array([ 6.14964184, -7.24902188])"
817,817,"array([ 6.47006425, -7.28770514])"
818,3672,"array([ 6.1522917 , -7.11811614])"
819,7393,"array([ 6.11618936, -7.31549976])"
820,3674,"array([ 5.5864477 , -7.19021199])"
821,8496,"array([ 5.75282709, -6.19723607])"
822,3676,"array([ 5.8670471 , -7.50975354])"
823,3677,"array([ 6.03303377, -7.48018304])"
824,8077,"array([ 5.47198729, -7.15899118])"
825,7396,"array([ 5.98956382, -6.71356857])"
826,826,"array([ 6.47487579, -7.01117868])"
827,3680,"array([ 5.88286362, -6.73950419])"
828,7397,"array([ 6.06942788, -7.38552738])"
829,7398,"array([ 6.27009408, -7.03248644])"
830,8078,"array([ 5.86699947, -6.69212443])"
831,831,"array([ 6.19745321, -6.91646688])"
832,8079,"array([ 5.46914995, -7.23020427])"
833,5952,"array([ 5.60744624, -6.67295983])"
834,834,"array([ 6.23485303, -7.03889926])"
835,8080,"array([ 5.52648833, -7.29773542])"
836,8081,"array([ 5.49262803, -6.86291353])"
837,8082,"array([ 5.75619364, -7.07167607])"
838,838,"array([ 6.18328412, -6.83204384])"
839,839,"array([ 6.22664565, -6.83926541])"
840,8083,"array([ 5.68120566, -6.62093709])"
841,10400,"array([ 6.21463214, -7.152957  ])"
842,8085,"array([ 5.53021838, -7.35454277])"
843,8498,"array([ 5.37688925, -6.5295776 ])"
844,8087,"array([ 5.52062317, -7.27746646])"
845,8088,"array([ 5.82983421, -7.17135062])"
846,7410,"array([ 5.73766066, -7.03668494])"
847,8499,"array([ 5.04020706, -6.30716438])"
848,8090,"array([ 5.7062626 , -7.23442573])"
849,8091,"array([ 5.84449734, -6.89057772])"
850,7414,"array([ 4.9487384 , -6.86259671])"
851,3700,"array([ 5.50486805, -7.26290619])"
852,852,"array([ 6.12616136, -7.06912067])"
853,3701,"array([ 5.80974983, -6.85690992])"
854,854,"array([ 6.20572633, -6.94650151])"
855,855,"array([ 6.27826583, -6.84677436])"
856,64601,"array([ 5.57762113, -6.68196107])"
857,3703,"array([ 5.63902446, -7.06757369])"
858,7416,"array([ 6.0162501 , -7.50861018])"
859,3705,"array([ 5.82173065, -6.71716384])"
860,7417,"array([ 5.65330998, -6.50877006])"
861,8093,"array([ 5.44864923, -7.18290021])"
862,3708,"array([ 5.7487512 , -7.52255237])"
863,8094,"array([ 4.83603188, -7.060503  ])"
864,7420,"array([ 5.33441673, -7.03233029])"
865,8095,"array([ 5.34675095, -7.17140749])"
866,10584,"array([ 5.74465393, -7.02152895])"
867,8097,"array([ 5.45235018, -7.24175108])"
868,7424,"array([ 5.77581039, -6.92617696])"
869,7425,"array([ 5.82901139, -7.06185766])"
870,7426,"array([ 5.61181002, -6.86704419])"
871,7427,"array([ 5.76223894, -7.25775727])"
872,3718,"array([ 5.51991363, -6.81690341])"
873,8098,"array([ 5.77719505, -6.85740727])"
874,3720,"array([ 5.67574677, -7.11396273])"
875,10549,"array([ 5.80626432, -7.16003774])"
876,3722,"array([ 5.21128008, -7.23430577])"
877,7430,"array([ 5.7376228 , -6.93146962])"
878,7431,"array([ 5.98971927, -7.4092026 ])"
879,3725,"array([ 5.95899475, -6.344818  ])"
880,7432,"array([ 5.77122008, -7.53557042])"
881,3727,"array([ 5.53964704, -6.78239973])"
882,3728,"array([ 5.58216489, -7.40491602])"
883,7433,"array([ 5.76953219, -6.87756076])"
884,7434,"array([ 5.55853998, -7.26194832])"
885,7435,"array([ 5.2945073 , -7.28501412])"
886,8100,"array([ 6.00969424, -7.1760026 ])"
887,3733,"array([ 5.68379123, -7.21156022])"
888,3734,"array([ 5.51449503, -7.14084781])"
889,3735,"array([ 5.50257661, -7.19653623])"
890,8101,"array([ 5.87272348, -7.2937058 ])"
891,3737,"array([ 6.03339053, -7.16822846])"
892,7438,"array([ 5.56471749, -7.55205855])"
893,3739,"array([ 5.79205118, -7.06804957])"
894,7439,"array([ 5.93954277, -7.28333637])"
895,3741,"array([ 4.93424179, -6.95118651])"
896,3742,"array([ 5.65480022, -7.36168325])"
897,3743,"array([ 5.77825003, -7.38908179])"
898,10585,"array([ 6.27852456, -6.9755465 ])"
899,7441,"array([ 5.26536858, -7.2186501 ])"
900,3746,"array([ 5.65753816, -7.45472623])"
901,7442,"array([ 5.5577902 , -6.87528375])"
902,3748,"array([ 5.13142204, -7.99344979])"
903,3749,"array([ 5.75983135, -7.03902745])"
904,7443,"array([ 6.44592911, -7.43673291])"
905,3751,"array([ 5.59393211, -7.14281261])"
906,10496,"array([ 5.88688396, -7.55817766])"
907,3753,"array([ 5.85250324, -7.44570256])"
908,7445,"array([ 6.26121667, -7.13912689])"
909,10609,"array([ 5.82610555, -7.33943414])"
910,8105,"array([ 5.71727987, -7.13888945])"
911,3757,"array([ 5.14395535, -7.75254226])"
912,3758,"array([ 5.41566985, -6.9209253 ])"
913,8506,"array([ 4.41584164, -6.14671073])"
914,10552,"array([ 5.36625782, -6.98592181])"
915,3761,"array([ 5.61726249, -7.32234265])"
916,10553,"array([ 5.60477252, -6.93553509])"
917,3763,"array([ 5.4607707 , -7.00880864])"
918,3764,"array([ 5.12520558, -7.37618949])"
919,10409,"array([ 5.44975719, -7.13460153])"
920,3766,"array([ 6.21450597, -7.11335601])"
921,7452,"array([ 5.56951503, -7.32104829])"
922,3768,"array([ 5.44507506, -7.07383856])"
923,8510,"array([ 4.37072975, -6.18316985])"
924,3770,"array([ 5.67429316, -7.16866267])"
925,8111,"array([ 6.28335934, -7.1054177 ])"
926,8511,"array([ 4.98113005, -6.30031424])"
927,8512,"array([ 5.69221319, -6.28298869])"
928,8114,"array([ 5.33668413, -7.51880645])"
929,8115,"array([ 5.22794932, -7.47857177])"
930,3776,"array([ 5.76467586, -7.41141635])"
931,7459,"array([ 6.11868399, -6.83008726])"
932,7460,"array([ 4.83387956, -6.99659603])"
933,8513,"array([ 6.04727633, -6.89203178])"
934,7462,"array([ 5.8486814 , -6.70651109])"
935,8117,"array([ 5.27332275, -7.12435317])"
936,3782,"array([ 5.77820002, -7.77445954])"
937,3783,"array([ 5.87875984, -7.90957574])"
938,3784,"array([ 5.05810244, -7.92969824])"
939,8118,"array([ 5.6677923 , -6.84842868])"
940,3786,"array([ 5.31039171, -7.52851311])"
941,8119,"array([ 5.80020764, -7.39476049])"
942,7466,"array([ 5.75636393, -7.30555419])"
943,3789,"array([ 5.84127808, -7.09125767])"
944,3790,"array([ 5.55010431, -6.99021485])"
945,3791,"array([ 5.61758188, -6.96336219])"
946,8120,"array([ 5.69205815, -7.11323913])"
947,8121,"array([ 5.27260092, -6.92769798])"
948,10641,"array([ 5.75440406, -7.10236428])"
949,7470,"array([ 5.03772813, -7.33326474])"
950,3796,"array([ 5.89829724, -7.04048508])"
951,8123,"array([ 5.65435149, -6.72447208])"
952,8515,"array([ 4.76054421, -7.03396032])"
953,3799,"array([ 5.42695738, -6.9898611 ])"
954,7473,"array([ 5.21575553, -6.97521028])"
955,3801,"array([ 5.56102952, -6.97481993])"
956,7474,"array([ 5.03942146, -7.10576387])"
957,3803,"array([ 5.83259023, -6.98584912])"
958,3804,"array([ 6.11917265, -6.86517524])"
959,7475,"array([ 4.79648032, -7.4037238 ])"
960,7476,"array([ 4.83572694, -7.13100147])"
961,3807,"array([ 5.1801018 , -7.16778618])"
962,7477,"array([ 4.78378986, -7.44034233])"
963,8125,"array([ 5.77281905, -7.10856336])"
964,7479,"array([ 5.04644176, -7.35562185])"
965,7480,"array([ 5.012524 , -7.3790077])"
966,3812,"array([ 6.10376374, -7.40788317])"
967,3813,"array([ 5.24189182, -7.79051454])"
968,3814,"array([ 5.34145542, -7.44092146])"
969,3815,"array([ 5.88837197, -7.42360372])"
970,8516,"array([ 4.87254072, -6.91711456])"
971,3817,"array([ 5.97128542, -7.51292982])"
972,7482,"array([ 5.31076673, -7.2171142 ])"
973,3819,"array([ 5.95100694, -7.37738874])"
974,3820,"array([ 5.7569353 , -6.92576534])"
975,7483,"array([ 4.86532301, -7.2873677 ])"
976,8517,"array([ 5.26809799, -7.01856822])"
977,7485,"array([ 5.07078616, -7.61331531])"
978,3824,"array([ 5.58679923, -7.34728428])"
979,7486,"array([ 4.85264647, -7.47881988])"
980,10501,"array([ 6.29777355, -7.15232103])"
981,10240,"array([ 5.59319073, -6.8779486 ])"
982,7489,"array([ 4.83469305, -7.45241609])"
983,7490,"array([ 5.15820809, -6.93089554])"
984,3830,"array([ 6.00733302, -7.20085449])"
985,3831,"array([ 5.48905174, -7.23465983])"
986,7491,"array([ 5.06715413, -7.51072762])"
987,3833,"array([ 5.54635455, -7.3841235 ])"
988,8130,"array([ 5.67730766, -6.76599902])"
989,10241,"array([ 5.78501575, -7.41335106])"
990,3836,"array([ 5.58235701, -7.74985846])"
991,10412,"array([ 5.04220788, -7.17846998])"
992,3838,"array([ 5.69079391, -6.95978396])"
993,3839,"array([ 5.07536413, -7.29643193])"
994,8133,"array([ 5.54947227, -7.34608967])"
995,7496,"array([ 4.85658636, -7.51308195])"
996,7497,"array([ 5.0922833 , -7.48672281])"
997,7498,"array([ 4.60721154, -7.43468143])"
998,3844,"array([ 6.00775465, -7.10847202])"
999,3845,"array([ 5.44671701, -7.34077323])"
1000,3846,"array([ 5.70295016, -7.55268401])"
1001,3847,"array([ 5.6102138 , -7.00628516])"
1002,7499,"array([ 5.14484266, -7.44962539])"
1003,7500,"array([ 5.13858523, -7.29808711])"
1004,3850,"array([ 5.83988642, -7.38420374])"
1005,3851,"array([ 5.70386795, -7.52831854])"
1006,7501,"array([ 5.17129903, -7.30952513])"
1007,7502,"array([ 5.10473231, -7.44571993])"
1008,7503,"array([ 5.14002495, -7.35932616])"
1009,3855,"array([ 5.66862257, -7.29586337])"
1010,3856,"array([ 5.44506485, -7.10067268])"
1011,3857,"array([ 5.79524076, -7.21713977])"
1012,8134,"array([ 5.56189658, -7.39168077])"
1013,3859,"array([ 6.33826065, -6.14507161])"
1014,6057,"array([ 5.22194152, -7.11414783])"
1015,3861,"array([ 6.28338226, -6.0503421 ])"
1016,3862,"array([ 6.09079671, -6.09593007])"
1017,3863,"array([ 6.2942039 , -6.02580754])"
1018,3864,"array([ 6.25908475, -6.10418245])"
1019,3865,"array([ 6.36599505, -6.13645901])"
1020,3866,"array([ 6.13346442, -6.17030593])"
1021,3867,"array([ 6.23433069, -6.13740579])"
1022,3868,"array([ 6.23033096, -6.10888608])"
1023,3869,"array([ 6.43871919, -6.2309254 ])"
1024,3870,"array([ 6.29455054, -5.98574798])"
1025,3871,"array([ 6.20000319, -6.12206962])"
1026,3872,"array([ 6.33244293, -6.06270769])"
1027,3873,"array([ 6.26000893, -6.06549418])"
1028,3874,"array([ 6.30388321, -6.06703471])"
1029,3875,"array([ 6.37229497, -6.06577082])"
1030,3876,"array([ 6.12931653, -6.13683724])"
1031,8135,"array([ 4.9574699 , -7.02136358])"
1032,3878,"array([ 6.20973163, -6.00150721])"
1033,3879,"array([ 6.10351496, -6.0589546 ])"
1034,3880,"array([ 6.34500079, -6.01728497])"
1035,3881,"array([ 6.28363106, -6.28724463])"
1036,3882,"array([ 6.23693066, -6.23802199])"
1037,3883,"array([ 6.36263298, -6.24211387])"
1038,3884,"array([ 6.41343694, -6.20308805])"
1039,3885,"array([ 6.16586265, -6.16262577])"
1040,3886,"array([ 6.26285537, -6.13937905])"
1041,3887,"array([ 6.39367447, -6.18245576])"
1042,3888,"array([ 6.35809385, -6.11237624])"
1043,3889,"array([ 6.30938844, -6.13458404])"
1044,3890,"array([ 6.41906462, -6.11192851])"
1045,3891,"array([ 6.20397233, -6.09097643])"
1046,3892,"array([ 6.34617844, -6.29388403])"
1047,3893,"array([ 6.26325445, -6.21153175])"
1048,3894,"array([ 6.41974803, -6.17259517])"
1049,3895,"array([ 6.19795059, -6.15232104])"
1050,6059,"array([ 5.84901642, -6.77626985])"
1051,7506,"array([ 4.97017186, -7.46501327])"
1052,6061,"array([ 5.5750409 , -7.09789542])"
1053,3899,"array([ 5.70690186, -7.46824727])"
1054,3900,"array([ 5.76578123, -7.19712864])"
1055,6062,"array([ 5.83221739, -7.28199003])"
1056,6063,"array([ 5.56503166, -7.0477094 ])"
1057,3903,"array([ 6.00271656, -6.3484566 ])"
1058,3904,"array([ 5.99710068, -7.23446024])"
1059,3905,"array([ 5.82049578, -7.51108045])"
1060,6064,"array([ 5.53813306, -7.42247888])"
1061,6065,"array([ 5.57625861, -7.46186333])"
1062,6066,"array([ 5.44672097, -6.99292264])"
1063,3909,"array([ 5.78687809, -7.14960635])"
1064,6067,"array([ 5.45280305, -6.85220601])"
1065,3911,"array([ 5.20385928, -7.20568959])"
1066,3912,"array([ 5.76461793, -7.12333184])"
1067,6068,"array([ 5.27352561, -7.73048922])"
1068,3914,"array([ 5.52899414, -7.01980246])"
1069,3915,"array([ 5.44868886, -7.11526299])"
1070,10243,"array([ 4.73744554, -6.52585213])"
1071,6070,"array([ 5.8989734 , -7.19137324])"
1072,6071,"array([ 5.42277271, -6.89067389])"
1073,6072,"array([ 5.31416628, -7.03121959])"
1074,6073,"array([ 5.66326777, -7.12915867])"
1075,8137,"array([ 5.67999   , -6.83375857])"
1076,8138,"array([ 5.80591806, -6.82075414])"
1077,6076,"array([ 5.46172185, -6.98681197])"
1078,6077,"array([ 5.58801121, -6.86112816])"
1079,3925,"array([ 5.35721557, -7.25253763])"
1080,6078,"array([ 5.703255  , -7.10114369])"
1081,6079,"array([ 5.36109337, -6.91266363])"
1082,6080,"array([ 5.50713259, -7.23135745])"
1083,6081,"array([ 5.57804469, -7.17337694])"
1084,6082,"array([ 5.66329752, -7.0578388 ])"
1085,3931,"array([ 5.42049535, -7.43723922])"
1086,3932,"array([ 5.54959922, -7.05999185])"
1087,6083,"array([ 4.84276816, -6.968524  ])"
1088,10413,"array([ 5.45125546, -7.27557432])"
1089,7511,"array([ 4.97629927, -7.37376027])"
1090,6086,"array([ 5.58033092, -7.1456899 ])"
1091,3937,"array([ 5.42911351, -7.13283075])"
1092,7512,"array([ 5.03835418, -7.38345911])"
1093,6088,"array([ 4.94158334, -7.46651726])"
1094,3940,"array([ 5.35043557, -7.29381388])"
1095,6089,"array([ 4.81887854, -7.03081724])"
1096,8140,"array([ 5.64631374, -7.74961142])"
1097,6091,"array([ 5.53601834, -7.22779617])"
1098,7514,"array([ 4.94577055, -7.50872812])"
1099,7515,"array([ 5.32873995, -7.14162268])"
1100,10414,"array([ 5.69319278, -6.80089861])"
1101,6095,"array([ 5.69388806, -7.16079334])"
1102,8142,"array([ 6.1068419 , -6.92726607])"
1103,1103,"array([ 5.14377658, -6.71063838])"
1104,1104,"array([ 4.96272256, -6.57253044])"
1105,6097,"array([ 5.26066552, -7.4209307 ])"
1106,3950,"array([ 5.35116543, -7.05958694])"
1107,3951,"array([ 5.37662652, -7.24576233])"
1108,7518,"array([ 5.1671928 , -7.18512608])"
